"TIME","GEO","UNIT","CRIM","Value"
"2006","BE","Number","Homicide",":"
"2007","BE","Number","Homicide",":"
"2008","BE","Number","Homicide","202"
"2009","BE","Number","Homicide","186"
"2010","BE","Number","Homicide","184"
"2006","BE1","Number","Homicide",":"
"2007","BE1","Number","Homicide",":"
"2008","BE1","Number","Homicide","44"
"2009","BE1","Number","Homicide","33"
"2010","BE1","Number","Homicide","30"
"2006","BE10","Number","Homicide",":"
"2007","BE10","Number","Homicide",":"
"2008","BE10","Number","Homicide","44"
"2009","BE10","Number","Homicide","33"
"2010","BE10","Number","Homicide","30"
"2006","BE100","Number","Homicide",":"
"2007","BE100","Number","Homicide",":"
"2008","BE100","Number","Homicide","44"
"2009","BE100","Number","Homicide","33"
"2010","BE100","Number","Homicide","30"
"2006","BE2","Number","Homicide",":"
"2007","BE2","Number","Homicide",":"
"2008","BE2","Number","Homicide","83"
"2009","BE2","Number","Homicide","88"
"2010","BE2","Number","Homicide","71"
"2006","BE21","Number","Homicide",":"
"2007","BE21","Number","Homicide",":"
"2008","BE21","Number","Homicide","38"
"2009","BE21","Number","Homicide","36"
"2010","BE21","Number","Homicide","30"
"2006","BE211","Number","Homicide",":"
"2007","BE211","Number","Homicide",":"
"2008","BE211","Number","Homicide","25"
"2009","BE211","Number","Homicide","28"
"2010","BE211","Number","Homicide","22"
"2006","BE212","Number","Homicide",":"
"2007","BE212","Number","Homicide",":"
"2008","BE212","Number","Homicide","8"
"2009","BE212","Number","Homicide","6"
"2010","BE212","Number","Homicide","7"
"2006","BE213","Number","Homicide",":"
"2007","BE213","Number","Homicide",":"
"2008","BE213","Number","Homicide","5"
"2009","BE213","Number","Homicide","2"
"2010","BE213","Number","Homicide","1"
"2006","BE22","Number","Homicide",":"
"2007","BE22","Number","Homicide",":"
"2008","BE22","Number","Homicide","16"
"2009","BE22","Number","Homicide","12"
"2010","BE22","Number","Homicide","11"
"2006","BE221","Number","Homicide",":"
"2007","BE221","Number","Homicide",":"
"2008","BE221","Number","Homicide","12"
"2009","BE221","Number","Homicide","6"
"2010","BE221","Number","Homicide","6"
"2006","BE222","Number","Homicide",":"
"2007","BE222","Number","Homicide",":"
"2008","BE222","Number","Homicide","2"
"2009","BE222","Number","Homicide","3"
"2010","BE222","Number","Homicide","1"
"2006","BE223","Number","Homicide",":"
"2007","BE223","Number","Homicide",":"
"2008","BE223","Number","Homicide","2"
"2009","BE223","Number","Homicide","3"
"2010","BE223","Number","Homicide","4"
"2006","BE23","Number","Homicide",":"
"2007","BE23","Number","Homicide",":"
"2008","BE23","Number","Homicide","13"
"2009","BE23","Number","Homicide","26"
"2010","BE23","Number","Homicide","8"
"2006","BE231","Number","Homicide",":"
"2007","BE231","Number","Homicide",":"
"2008","BE231","Number","Homicide","4"
"2009","BE231","Number","Homicide","4"
"2010","BE231","Number","Homicide","1"
"2006","BE232","Number","Homicide",":"
"2007","BE232","Number","Homicide",":"
"2008","BE232","Number","Homicide","1"
"2009","BE232","Number","Homicide","4"
"2010","BE232","Number","Homicide",":"
"2006","BE233","Number","Homicide",":"
"2007","BE233","Number","Homicide",":"
"2008","BE233","Number","Homicide",":"
"2009","BE233","Number","Homicide",":"
"2010","BE233","Number","Homicide",":"
"2006","BE234","Number","Homicide",":"
"2007","BE234","Number","Homicide",":"
"2008","BE234","Number","Homicide","5"
"2009","BE234","Number","Homicide","13"
"2010","BE234","Number","Homicide","5"
"2006","BE235","Number","Homicide",":"
"2007","BE235","Number","Homicide",":"
"2008","BE235","Number","Homicide",":"
"2009","BE235","Number","Homicide","1"
"2010","BE235","Number","Homicide",":"
"2006","BE236","Number","Homicide",":"
"2007","BE236","Number","Homicide",":"
"2008","BE236","Number","Homicide","3"
"2009","BE236","Number","Homicide","4"
"2010","BE236","Number","Homicide","2"
"2006","BE24","Number","Homicide",":"
"2007","BE24","Number","Homicide",":"
"2008","BE24","Number","Homicide","6"
"2009","BE24","Number","Homicide","5"
"2010","BE24","Number","Homicide","10"
"2006","BE241","Number","Homicide",":"
"2007","BE241","Number","Homicide",":"
"2008","BE241","Number","Homicide","4"
"2009","BE241","Number","Homicide","5"
"2010","BE241","Number","Homicide","7"
"2006","BE242","Number","Homicide",":"
"2007","BE242","Number","Homicide",":"
"2008","BE242","Number","Homicide","2"
"2009","BE242","Number","Homicide",":"
"2010","BE242","Number","Homicide","3"
"2006","BE25","Number","Homicide",":"
"2007","BE25","Number","Homicide",":"
"2008","BE25","Number","Homicide","10"
"2009","BE25","Number","Homicide","9"
"2010","BE25","Number","Homicide","12"
"2006","BE251","Number","Homicide",":"
"2007","BE251","Number","Homicide",":"
"2008","BE251","Number","Homicide","2"
"2009","BE251","Number","Homicide","2"
"2010","BE251","Number","Homicide",":"
"2006","BE252","Number","Homicide",":"
"2007","BE252","Number","Homicide",":"
"2008","BE252","Number","Homicide",":"
"2009","BE252","Number","Homicide","1"
"2010","BE252","Number","Homicide",":"
"2006","BE253","Number","Homicide",":"
"2007","BE253","Number","Homicide",":"
"2008","BE253","Number","Homicide","1"
"2009","BE253","Number","Homicide",":"
"2010","BE253","Number","Homicide","1"
"2006","BE254","Number","Homicide",":"
"2007","BE254","Number","Homicide",":"
"2008","BE254","Number","Homicide","1"
"2009","BE254","Number","Homicide","3"
"2010","BE254","Number","Homicide","4"
"2006","BE255","Number","Homicide",":"
"2007","BE255","Number","Homicide",":"
"2008","BE255","Number","Homicide","4"
"2009","BE255","Number","Homicide","3"
"2010","BE255","Number","Homicide","3"
"2006","BE256","Number","Homicide",":"
"2007","BE256","Number","Homicide",":"
"2008","BE256","Number","Homicide","1"
"2009","BE256","Number","Homicide",":"
"2010","BE256","Number","Homicide","3"
"2006","BE257","Number","Homicide",":"
"2007","BE257","Number","Homicide",":"
"2008","BE257","Number","Homicide",":"
"2009","BE257","Number","Homicide",":"
"2010","BE257","Number","Homicide","1"
"2006","BE258","Number","Homicide",":"
"2007","BE258","Number","Homicide",":"
"2008","BE258","Number","Homicide","1"
"2009","BE258","Number","Homicide",":"
"2010","BE258","Number","Homicide",":"
"2006","BE3","Number","Homicide",":"
"2007","BE3","Number","Homicide",":"
"2008","BE3","Number","Homicide","75"
"2009","BE3","Number","Homicide","65"
"2010","BE3","Number","Homicide","83"
"2006","BE31","Number","Homicide",":"
"2007","BE31","Number","Homicide",":"
"2008","BE31","Number","Homicide","7"
"2009","BE31","Number","Homicide","1"
"2010","BE31","Number","Homicide","10"
"2006","BE310","Number","Homicide",":"
"2007","BE310","Number","Homicide",":"
"2008","BE310","Number","Homicide","7"
"2009","BE310","Number","Homicide","1"
"2010","BE310","Number","Homicide","10"
"2006","BE32","Number","Homicide",":"
"2007","BE32","Number","Homicide",":"
"2008","BE32","Number","Homicide","29"
"2009","BE32","Number","Homicide","24"
"2010","BE32","Number","Homicide","30"
"2006","BE321","Number","Homicide",":"
"2007","BE321","Number","Homicide",":"
"2008","BE321","Number","Homicide",":"
"2009","BE321","Number","Homicide","2"
"2010","BE321","Number","Homicide","1"
"2006","BE322","Number","Homicide",":"
"2007","BE322","Number","Homicide",":"
"2008","BE322","Number","Homicide","10"
"2009","BE322","Number","Homicide","8"
"2010","BE322","Number","Homicide","9"
"2006","BE323","Number","Homicide",":"
"2007","BE323","Number","Homicide",":"
"2008","BE323","Number","Homicide","10"
"2009","BE323","Number","Homicide","6"
"2010","BE323","Number","Homicide","7"
"2006","BE324","Number","Homicide",":"
"2007","BE324","Number","Homicide",":"
"2008","BE324","Number","Homicide","1"
"2009","BE324","Number","Homicide",":"
"2010","BE324","Number","Homicide","2"
"2006","BE325","Number","Homicide",":"
"2007","BE325","Number","Homicide",":"
"2008","BE325","Number","Homicide","5"
"2009","BE325","Number","Homicide",":"
"2010","BE325","Number","Homicide","3"
"2006","BE326","Number","Homicide",":"
"2007","BE326","Number","Homicide",":"
"2008","BE326","Number","Homicide","3"
"2009","BE326","Number","Homicide","4"
"2010","BE326","Number","Homicide","4"
"2006","BE327","Number","Homicide",":"
"2007","BE327","Number","Homicide",":"
"2008","BE327","Number","Homicide",":"
"2009","BE327","Number","Homicide","4"
"2010","BE327","Number","Homicide","4"
"2006","BE33","Number","Homicide",":"
"2007","BE33","Number","Homicide",":"
"2008","BE33","Number","Homicide","32"
"2009","BE33","Number","Homicide","26"
"2010","BE33","Number","Homicide","28"
"2006","BE331","Number","Homicide",":"
"2007","BE331","Number","Homicide",":"
"2008","BE331","Number","Homicide","5"
"2009","BE331","Number","Homicide","1"
"2010","BE331","Number","Homicide","2"
"2006","BE332","Number","Homicide",":"
"2007","BE332","Number","Homicide",":"
"2008","BE332","Number","Homicide","26"
"2009","BE332","Number","Homicide","23"
"2010","BE332","Number","Homicide","19"
"2006","BE334","Number","Homicide",":"
"2007","BE334","Number","Homicide",":"
"2008","BE334","Number","Homicide",":"
"2009","BE334","Number","Homicide",":"
"2010","BE334","Number","Homicide","3"
"2006","BE335","Number","Homicide",":"
"2007","BE335","Number","Homicide",":"
"2008","BE335","Number","Homicide","1"
"2009","BE335","Number","Homicide","2"
"2010","BE335","Number","Homicide","2"
"2006","BE336","Number","Homicide",":"
"2007","BE336","Number","Homicide",":"
"2008","BE336","Number","Homicide",":"
"2009","BE336","Number","Homicide",":"
"2010","BE336","Number","Homicide","2"
"2006","BE34","Number","Homicide",":"
"2007","BE34","Number","Homicide",":"
"2008","BE34","Number","Homicide","2"
"2009","BE34","Number","Homicide","5"
"2010","BE34","Number","Homicide","6"
"2006","BE341","Number","Homicide",":"
"2007","BE341","Number","Homicide",":"
"2008","BE341","Number","Homicide","1"
"2009","BE341","Number","Homicide","1"
"2010","BE341","Number","Homicide","2"
"2006","BE342","Number","Homicide",":"
"2007","BE342","Number","Homicide",":"
"2008","BE342","Number","Homicide",":"
"2009","BE342","Number","Homicide","1"
"2010","BE342","Number","Homicide",":"
"2006","BE343","Number","Homicide",":"
"2007","BE343","Number","Homicide",":"
"2008","BE343","Number","Homicide",":"
"2009","BE343","Number","Homicide","2"
"2010","BE343","Number","Homicide","1"
"2006","BE344","Number","Homicide",":"
"2007","BE344","Number","Homicide",":"
"2008","BE344","Number","Homicide",":"
"2009","BE344","Number","Homicide","1"
"2010","BE344","Number","Homicide",":"
"2006","BE345","Number","Homicide",":"
"2007","BE345","Number","Homicide",":"
"2008","BE345","Number","Homicide","1"
"2009","BE345","Number","Homicide",":"
"2010","BE345","Number","Homicide","3"
"2006","BE35","Number","Homicide",":"
"2007","BE35","Number","Homicide",":"
"2008","BE35","Number","Homicide","5"
"2009","BE35","Number","Homicide","9"
"2010","BE35","Number","Homicide","9"
"2006","BE351","Number","Homicide",":"
"2007","BE351","Number","Homicide",":"
"2008","BE351","Number","Homicide","1"
"2009","BE351","Number","Homicide","4"
"2010","BE351","Number","Homicide","1"
"2006","BE352","Number","Homicide",":"
"2007","BE352","Number","Homicide",":"
"2008","BE352","Number","Homicide","2"
"2009","BE352","Number","Homicide","2"
"2010","BE352","Number","Homicide","5"
"2006","BE353","Number","Homicide",":"
"2007","BE353","Number","Homicide",":"
"2008","BE353","Number","Homicide","2"
"2009","BE353","Number","Homicide","3"
"2010","BE353","Number","Homicide","3"
"2006","BG","Number","Homicide",":"
"2007","BG","Number","Homicide",":"
"2008","BG","Number","Homicide","172"
"2009","BG","Number","Homicide","150"
"2010","BG","Number","Homicide","147"
"2006","BG3","Number","Homicide",":"
