GEO/TIME;2007;2008;2009;2010;2011
BE;10625.7;10710.0;10796.5;10895.6;11047.7
BE1;1039.9;1058.5;1079.0;1104.3;1148.1
BE10;1039.9;1058.5;1079.0;1104.3;1148.1
BE100;1039.9;1058.5;1079.0;1104.3;1148.1
BE2;6139.5;6185.2;6230.4;6279.3;6349.2
BE21;1708.1;1723.4;1738.0;1754.8;1782.1
BE211;965.3;973.6;981.5;991.8;1011.0
BE212;317.7;320.4;323.0;325.8;329.0
BE213;425.1;429.4;433.5;437.2;442.2
BE22;823.5;829.9;835.8;841.6;849.5
BE221;400.0;403.7;407.0;410.0;414.4
BE222;228.7;230.4;232.0;233.5;235.2
BE223;194.8;195.8;196.8;198.1;199.9
BE23;1403.4;1414.4;1426.4;1439.1;1453.7
BE231;268.4;270.5;272.5;275.0;278.1
BE232;190.0;190.9;192.0;193.3;195.0
BE233;80.7;81.1;81.7;82.2;83.0
BE234;514.5;519.2;524.5;530.2;535.9
BE235;117.6;118.6;119.6;120.3;121.1
BE236;232.2;234.1;236.1;238.1;240.7
BE24;1056.3;1064.5;1072.9;1081.7;1093.0
BE241;582.4;586.6;591.1;596.2;602.9
BE242;473.9;478.0;481.8;485.5;490.1
BE25;1148.2;1152.9;1157.3;1162.2;1170.9
BE251;275.2;275.8;276.1;276.8;278.5
BE252;48.8;49.2;49.5;49.8;50.2
BE253;105.0;105.3;105.7;106.0;106.6
BE254;278.4;279.4;280.6;281.6;283.7
BE255;148.8;149.8;150.6;151.5;153.1
BE256;143.2;143.9;144.6;145.5;146.9
BE257;89.4;89.8;90.2;90.5;91.2
BE258;59.4;59.7;60.1;60.4;60.8
BE3;3446.3;3466.2;3487.0;3512.0;3550.5
BE31;372.0;374.6;377.6;381.2;385.2
BE310;372.0;374.6;377.6;381.2;385.2
BE32;1297.5;1302.3;1307.2;1313.6;1323.1
BE321;82.3;82.9;83.4;84.1;84.8
BE322;422.9;423.7;424.7;426.2;429.1
BE323;250.2;250.6;251.3;252.6;254.3
BE324;71.1;71.7;72.2;72.7;73.5
BE325;180.7;181.7;182.7;183.6;184.9
BE326;147.8;148.4;148.8;149.4;150.6
BE327;142.6;143.3;144.1;144.8;145.8
BE33;1050.6;1056.9;1063.9;1072.4;1086.1
BE331;105.3;106.3;107.3;108.4;109.6
BE332;596.0;598.9;602.2;606.7;614.6
BE334;73.5;74.4;75.2;76.1;77.1
BE335;201.8;203.0;204.3;205.8;208.3
BE336;73.9;74.4;74.9;75.5;76.5
BE34;262.6;265.5;268.0;270.2;274.7
BE341;56.0;56.9;57.6;58.2;59.0
BE342;43.7;44.3;44.8;45.3;46.1
BE343;53.4;53.8;54.1;54.5;55.9
BE344;58.4;59.1;59.6;60.1;60.9
BE345;51.1;51.5;51.8;52.2;52.7
BE35;463.7;467.0;470.4;474.6;481.4
BE351;104.4;105.0;105.7;106.5;108.7
BE352;295.4;297.7;300.2;302.9;306.3
BE353;63.9;64.3;64.6;65.1;66.4
BG;7659.8;7623.4;7585.1;7534.3;7348.3
BG3;3994.1;3966.6;3938.2;3900.4;3740.1
BG31;936.8;923.0;909.3;894.7;842.4
BG311;113.7;111.5;109.2;107.0;100.3
BG312;162.6;159.7;157.1;154.5;147.1
BG313;204.3;201.2;198.3;195.2;185.9
BG314;299.8;296.1;292.4;288.5;268.5
BG315;156.4;154.5;152.3;149.6;140.6
BG32;936.6;928.1;919.6;908.4;857.8
BG321;279.8;278.1;276.5;273.4;257.6
BG322;133.9;132.6;131.0;128.9;122.1
BG323;254.2;252.1;250.2;247.9;234.6
BG324;137.0;135.3;133.6;131.5;124.5
BG325;131.8;130.0;128.4;126.7;119.0
BG33;992.8;991.8;990.2;985.7;964.1
BG331;458.3;461.4;464.4;465.3;474.6
BG332;203.9;202.3;200.6;198.6;189.0
BG333;197.1;196.0;194.8;193.1;180.2
BG334;133.5;132.0;130.5;128.8;120.4
BG34;1127.9;1123.8;1119.1;1111.5;1075.7
BG341;419.0;420.5;421.6;421.8;415.4
BG342;208.5;207.2;205.7;203.4;197.2
BG343;143.5;141.6;139.5;137.1;130.8
BG344;357.0;354.6;352.2;349.2;332.3
BG4;3665.7;3656.8;3647.0;3633.9;3608.2
BG41;2115.7;2114.8;2113.8;2113.0;2132.5
BG411;1239.3;1243.9;1248.4;1254.6;1294.2
BG412;257.5;255.4;253.6;251.7;246.6
BG413;329.7;329.0;328.3;326.9;322.9
BG414;139.2;138.1;136.8;135.5;132.8
BG415;150.0;148.4;146.6;144.3;135.9
BG42;1550.0;1542.0;1533.2;1520.9;1475.8
BG421;705.8;704.6;702.9;699.0;682.1
BG422;263.0;260.4;257.7;254.8;245.2
BG423;295.2;293.3;291.6;289.3;274.8
BG424;129.0;127.4;125.7;123.7;121.2
BG425;157.1;156.3;155.4;154.1;152.5
CZ;10334.2;10424.3;10487.2;10519.8;10496.1
CZ0;10334.2;10424.3;10487.2;10519.8;10496.1
CZ01;1200.1;1222.7;1241.1;1253.1;1237.9
CZ010;1200.1;1222.7;1241.1;1253.1;1237.9
CZ02;1188.5;1216.3;1239.1;1256.3;1272.2
CZ020;1188.5;1216.3;1239.1;1256.3;1272.2
CZ03;1189.4;1200.1;1207.7;1210.1;1207.4
CZ031;631.6;634.8;637.0;638.2;636.0
CZ032;557.8;565.4;570.7;572.0;571.5
CZ04;1133.2;1141.5;1144.1;1143.7;1131.7
CZ041;306.0;307.9;308.0;307.5;303.5
CZ042;827.2;833.5;836.0;836.1;828.2
CZ05;1492.9;1502.3;1508.4;1510.8;1508.8
CZ051;432.4;435.6;438.2;439.5;438.3
CZ052;550.9;553.4;554.5;554.6;554.2
CZ053;509.6;513.3;515.8;516.7;516.3
CZ06;1649.2;1658.4;1664.6;1668.0;1677.1
CZ063;512.7;514.5;515.2;514.8;512.1
CZ064;1136.5;1143.8;1149.4;1153.2;1165.0
CZ07;1231.2;1233.1;1233.3;1232.6;1228.4
CZ071;640.8;642.0;642.1;641.9;638.8
CZ072;590.3;591.1;591.2;590.7;589.6
CZ08;1249.6;1250.1;1248.8;1245.3;1232.7
CZ080;1249.6;1250.1;1248.8;1245.3;1232.7
DK;5461.4;5493.6;5523.1;5547.7;5570.6
DK0;5461.4;5493.6;5523.1;5547.7;5570.6
DK01;1641.3;1654.1;1671.3;1689.8;1707.0
DK011;652.7;661.9;673.1;685.9;698.5
DK012;503.9;506.3;510.4;514.7;518.8
DK013;441.6;443.0;445.3;447.2;448.1
DK014;43.0;42.8;42.5;42.1;41.7
DK02;817.8;820.3;820.9;820.2;818.8
DK021;232.3;233.0;234.1;235.0;236.0
DK022;585.4;587.3;586.8;585.1;582.9
DK03;1192.2;1197.2;1200.0;1200.5;1201.0
DK031;481.5;483.4;484.6;484.9;485.1
DK032;710.7;713.8;715.4;715.6;715.9
DK04;1232.2;1242.4;1250.9;1257.5;1263.8
DK041;423.6;425.9;427.1;427.0;426.9
DK042;808.6;816.5;823.7;830.5;836.9
DK05;577.9;579.7;580.1;579.7;579.9
DK050;577.9;579.7;580.1;579.7;579.9
DE;82266.4;82110.1;81902.3;81776.9;81797.7
DE1;10744.3;10749.6;10747.2;10749.4;10770.1
DE11;4006.2;4006.7;4003.6;4001.7;4009.3
DE111;595.5;598.6;600.9;604.1;610.0
DE112;372.5;372.8;372.2;371.5;371.9
DE113;514.3;514.6;514.4;514.5;516.0
DE114;256.4;255.3;254.2;253.0;252.3
DE115;514.6;515.5;516.4;517.4;519.5
DE116;417.4;416.7;416.0;415.6;415.6
DE117;121.5;121.9;122.3;122.6;123.6
DE118;330.1;330.0;329.4;328.7;328.5
DE119;109.8;109.7;109.3;109.0;108.9
DE11A;189.3;189.2;188.9;188.6;188.4
DE11B;135.8;135.2;134.6;133.8;133.2
DE11C;133.8;133.1;132.3;131.5;130.9
DE11D;315.1;314.1;312.9;311.4;310.5
DE12;2736.8;2739.7;2740.3;2742.4;2748.1
DE121;54.9;54.8;54.6;54.5;54.5
DE122;287.6;289.8;291.3;293.4;296.1
DE123;430.9;431.5;431.5;431.9;432.6
DE124;228.0;227.5;227.0;226.9;226.8
DE125;145.0;145.5;146.1;146.9;148.5
DE126;308.9;310.6;311.7;312.6;314.1
DE127;149.8;149.2;148.3;147.4;146.6
DE128;534.6;535.1;535.8;537.0;538.4
DE129;119.3;119.6;119.8;119.8;120.2
DE12A;160.0;159.2;158.4;157.7;157.1
DE12B;195.8;195.4;194.9;194.2;193.9
DE12C;122.1;121.6;121.0;120.3;119.3
DE13;2194.8;2196.0;2195.8;2197.6;2203.1
DE131;218.5;219.5;220.8;223.1;226.7
DE132;250.1;250.2;250.3;250.8;251.8
DE133;157.4;157.6;157.7;158.1;158.5
DE134;417.4;417.7;417.4;417.4;417.7
DE135;141.7;141.3;140.7;139.8;139.0
DE136;210.2;209.2;208.0;206.9;206.4
DE137;135.3;135.2;134.9;134.5;134.2
DE138;274.9;275.7;276.9;278.3;279.8
DE139;222.2;222.6;222.5;222.5;223.0
DE13A;167.2;167.0;166.6;166.3;166.1
DE14;1806.5;1807.2;1807.5;1807.8;1809.6
DE141;281.7;281.3;281.0;280.9;281.0
DE142;217.3;218.1;219.7;221.0;221.6
DE143;191.8;190.9;189.8;188.9;188.0
DE144;121.2;121.5;121.9;122.4;123.2
DE145;190.2;190.3;190.1;189.8;189.7
DE146;188.9;189.2;189.3;189.4;189.4
DE147;206.3;207.3;207.7;208.0;209.1
DE148;276.2;276.5;276.4;276.7;277.4
DE149;132.7;132.1;131.4;130.6;130.0
