"TIME","GEO","INDIC_TO","UNIT","ACTIVITY","Value","Flag and Footnotes"
"2007","EU28","Number of establishments","Number","Collective tourist accommodation establishments","424,661",""
"2008","EU28","Number of establishments","Number","Collective tourist accommodation establishments","441,621",""
"2009","EU28","Number of establishments","Number","Collective tourist accommodation establishments","475,290",""
"2010","EU28","Number of establishments","Number","Collective tourist accommodation establishments","480,875",""
"2011","EU28","Number of establishments","Number","Collective tourist accommodation establishments","474,371","e"
"2007","EU27","Number of establishments","Number","Collective tourist accommodation establishments","422,850",""
"2008","EU27","Number of establishments","Number","Collective tourist accommodation establishments","439,636",""
"2009","EU27","Number of establishments","Number","Collective tourist accommodation establishments","473,202",""
"2010","EU27","Number of establishments","Number","Collective tourist accommodation establishments","478,758",""
"2011","EU27","Number of establishments","Number","Collective tourist accommodation establishments","472,182","e"
"2007","BE","Number of establishments","Number","Collective tourist accommodation establishments","3,426",""
"2008","BE","Number of establishments","Number","Collective tourist accommodation establishments","3,536",""
"2009","BE","Number of establishments","Number","Collective tourist accommodation establishments","3,528",""
"2010","BE","Number of establishments","Number","Collective tourist accommodation establishments","3,546",""
"2011","BE","Number of establishments","Number","Collective tourist accommodation establishments","3,506",""
"2007","BE1","Number of establishments","Number","Collective tourist accommodation establishments","171",""
"2008","BE1","Number of establishments","Number","Collective tourist accommodation establishments","180",""
"2009","BE1","Number of establishments","Number","Collective tourist accommodation establishments","176",""
"2010","BE1","Number of establishments","Number","Collective tourist accommodation establishments","182",""
"2011","BE1","Number of establishments","Number","Collective tourist accommodation establishments","196",""
"2007","BE10","Number of establishments","Number","Collective tourist accommodation establishments","171",""
"2008","BE10","Number of establishments","Number","Collective tourist accommodation establishments","180",""
"2009","BE10","Number of establishments","Number","Collective tourist accommodation establishments","176",""
"2010","BE10","Number of establishments","Number","Collective tourist accommodation establishments","182",""
"2011","BE10","Number of establishments","Number","Collective tourist accommodation establishments","196",""
"2007","BE100","Number of establishments","Number","Collective tourist accommodation establishments","171",""
"2008","BE100","Number of establishments","Number","Collective tourist accommodation establishments","180",""
"2009","BE100","Number of establishments","Number","Collective tourist accommodation establishments","176",""
"2010","BE100","Number of establishments","Number","Collective tourist accommodation establishments","182",""
"2011","BE100","Number of establishments","Number","Collective tourist accommodation establishments","196",""
"2007","BE2","Number of establishments","Number","Collective tourist accommodation establishments","1,992",""
"2008","BE2","Number of establishments","Number","Collective tourist accommodation establishments","2,103",""
"2009","BE2","Number of establishments","Number","Collective tourist accommodation establishments","2,137",""
"2010","BE2","Number of establishments","Number","Collective tourist accommodation establishments","2,193",""
"2011","BE2","Number of establishments","Number","Collective tourist accommodation establishments","2,148",""
"2007","BE21","Number of establishments","Number","Collective tourist accommodation establishments","331",""
"2008","BE21","Number of establishments","Number","Collective tourist accommodation establishments","364",""
"2009","BE21","Number of establishments","Number","Collective tourist accommodation establishments","369",""
"2010","BE21","Number of establishments","Number","Collective tourist accommodation establishments","386",""
